"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Churchill","2019-04-20","continued","93","106","-13","-12.26%","106"
"Clark","2019-04-20","continued","13,288","12,848","440","3.42%","13,224"
"Douglas","2019-04-20","continued","205","204","1","0.49%","212"
"Elko","2019-04-20","continued","206","217","-11","-5.07%","230"
"Esmeralda","2019-04-20","continued","1","1","0","0.00%","2"
"Eureka","2019-04-20","continued","4","5","-1","-20.00%","4"
"Humboldt","2019-04-20","continued","40","37","3","8.11%","39"
"Lander","2019-04-20","continued","21","24","-3","-12.50%","26"
"Lincoln","2019-04-20","continued","25","26","-1","-3.85%","27"
"Lyon","2019-04-20","continued","314","327","-13","-3.98%","348"
"Mineral","2019-04-20","continued","15","16","-1","-6.25%","16"
"Nye","2019-04-20","continued","219","206","13","6.31%","212"
"Pershing","2019-04-20","continued","28","26","2","7.69%","30"
"Storey","2019-04-20","continued","10","10","0","0.00%","10"
"Washoe","2019-04-20","continued","2,182","2,234","-52","-2.33%","2,356"
"White Pine","2019-04-20","continued","26","31","-5","-16.13%","34"
"Unknown","2019-04-20","continued","382","379","3","0.79%","396"
"Carson City","2019-04-13","initial","37","31","6","19.35%","33"
"Churchill","2019-04-13","initial","11","8","3","37.50%","12"
"Clark","2019-04-13","initial","1,920","1,742","178","10.22%","1,836"
"Douglas","2019-04-13","initial","20","22","-2","-9.09%","20"
"Elko","2019-04-13","initial","23","19","4","21.05%","22"
"Esmeralda","2019-04-13","initial","0","0","0","","0"
"Eureka","2019-04-13","initial","0","1","-1","-100.00%","0"
"Humboldt","2019-04-13","initial","3","6","-3","-50.00%","4"
"Lander","2019-04-13","initial","2","0","2","Inf","1"
"Lincoln","2019-04-13","initial","3","1","2","200.00%","2"
"Lyon","2019-04-13","initial","32","38","-6","-15.79%","36"
"Mineral","2019-04-13","initial","0","1","-1","-100.00%","1"
"Nye","2019-04-13","initial","20","19","1","5.26%","21"
"Pershing","2019-04-13","initial","1","1","0","0.00%","2"
"Storey","2019-04-13","initial","0","2","-2","-100.00%","1"
"Washoe","2019-04-13","initial","248","300","-52","-17.33%","270"
"White Pine","2019-04-13","initial","2","1","1","100.00%","2"
"Unknown","2019-04-13","initial","87","93","-6","-6.45%","85"
"Carson City","2019-04-13","continued","279","305","-26","-8.52%","322"
"Churchill","2019-04-13","continued","106","108","-2","-1.85%","114"
"Clark","2019-04-13","continued","12,848","13,259","-411","-3.10%","13,299"
"Douglas","2019-04-13","continued","204","208","-4","-1.92%","221"
"Elko","2019-04-13","continued","217","237","-20","-8.44%","242"
"Esmeralda","2019-04-13","continued","1","4","-3","-75.00%","2"
"Eureka","2019-04-13","continued","5","3","2","66.67%","4"
"Humboldt","2019-04-13","continued","37","41","-4","-9.76%","41"
"Lander","2019-04-13","continued","24","29","-5","-17.24%","30"
"Lincoln","2019-04-13","continued","26","27","-1","-3.70%","28"
"Lyon","2019-04-13","continued","327","359","-32","-8.91%","370"
"Mineral","2019-04-13","continued","16","14","2","14.29%","18"
"Nye","2019-04-13","continued","206","208","-2","-0.96%","210"
"Pershing","2019-04-13","continued","26","28","-2","-7.14%","32"
"Storey","2019-04-13","continued","10","9","1","11.11%","10"
"Washoe","2019-04-13","continued","2,234","2,427","-193","-7.95%","2,510"
"White Pine","2019-04-13","continued","31","36","-5","-13.89%","37"
"Unknown","2019-04-13","continued","379","403","-24","-5.96%","412"
"Carson City","2019-04-06","initial","31","35","-4","-11.43%","34"
"Churchill","2019-04-06","initial","8","12","-4","-33.33%","12"
"Clark","2019-04-06","initial","1,742","1,802","-60","-3.33%","1,837"
"Douglas","2019-04-06","initial","22","14","8","57.14%","22"
"Elko","2019-04-06","initial","19","25","-6","-24.00%","24"
"Esmeralda","2019-04-06","initial","0","0","0","","0"
"Eureka","2019-04-06","initial","1","0","1","Inf","1"
"Humboldt","2019-04-06","initial","6","6","0","0.00%","4"
"Lander","2019-04-06","initial","0","3","-3","-100.00%","1"
"Lincoln","2019-04-06","initial","1","1","0","0.00%","2"
"Lyon","2019-04-06","initial","38","34","4","11.76%","42"
"Mineral","2019-04-06","initial","1","2","-1","-50.00%","2"
"Nye","2019-04-06","initial","19","20","-1","-5.00%","20"
"Pershing","2019-04-06","initial","1","3","-2","-66.67%","2"
"Storey","2019-04-06","initial","2","1","1","100.00%","1"
"Washoe","2019-04-06","initial","300","260","40","15.38%","287"
"White Pine","2019-04-06","initial","1","1","0","0.00%","3"
"Unknown","2019-04-06","initial","93","69","24","34.78%","88"
"Carson City","2019-04-06","continued","305","324","-19","-5.86%","357"
"Churchill","2019-04-06","continued","108","115","-7","-6.09%","119"
"Clark","2019-04-06","continued","13,259","13,503","-244","-1.81%","13,479"
"Douglas","2019-04-06","continued","208","229","-21","-9.17%","238"
"Elko","2019-04-06","continued","237","259","-22","-8.49%","256"
"Esmeralda","2019-04-06","continued","4","1","3","300.00%","3"
"Eureka","2019-04-06","continued","3","5","-2","-40.00%","4"
"Humboldt","2019-04-06","continued","41","39","2","5.13%","44"
"Lander","2019-04-06","continued","29","31","-2","-6.45%","34"
"Lincoln","2019-04-06","continued","27","30","-3","-10.00%","30"
"Lyon","2019-04-06","continued","359","390","-31","-7.95%","400"
"Mineral","2019-04-06","continued","14","18","-4","-22.22%","19"
"Nye","2019-04-06","continued","208","216","-8","-3.70%","216"
"Pershing","2019-04-06","continued","28","39","-11","-28.21%","35"
"Storey","2019-04-06","continued","9","9","0","0.00%","12"
"Washoe","2019-04-06","continued","2,427","2,582","-155","-6.00%","2,717"
"White Pine","2019-04-06","continued","36","41","-5","-12.20%","39"
"Unknown","2019-04-06","continued","403","420","-17","-4.05%","427"
"Carson City","2019-03-30","initial","35","30","5","16.67%","37"
"Churchill","2019-03-30","initial","12","16","-4","-25.00%","14"
"Clark","2019-03-30","initial","1,802","1,878","-76","-4.05%","1,884"
"Douglas","2019-03-30","initial","14","26","-12","-46.15%","23"
"Elko","2019-03-30","initial","25","21","4","19.05%","24"
"Esmeralda","2019-03-30","initial","0","1","-1","-100.00%","0"
"Eureka","2019-03-30","initial","0","1","-1","-100.00%","0"
"Humboldt","2019-03-30","initial","6","1","5","500.00%","2"
"Lander","2019-03-30","initial","3","0","3","Inf","3"
"Lincoln","2019-03-30","initial","1","1","0","0.00%","2"
"Lyon","2019-03-30","initial","34","42","-8","-19.05%","46"
"Mineral","2019-03-30","initial","2","0","2","Inf","3"
"Nye","2019-03-30","initial","20","24","-4","-16.67%","20"
"Pershing","2019-03-30","initial","3","2","1","50.00%","2"
"Storey","2019-03-30","initial","1","1","0","0.00%","1"
"Washoe","2019-03-30","initial","260","274","-14","-5.11%","298"
"White Pine","2019-03-30","initial","1","4","-3","-75.00%","3"
"Unknown","2019-03-30","initial","69","90","-21","-23.33%","88"
"Carson City","2019-03-30","continued","324","378","-54","-14.29%","396"
"Churchill","2019-03-30","continued","115","127","-12","-9.45%","127"
"Clark","2019-03-30","continued","13,503","13,587","-84","-0.62%","13,612"
"Douglas","2019-03-30","continued","229","244","-15","-6.15%","257"
"Elko","2019-03-30","continued","259","256","3","1.17%","267"
"Esmeralda","2019-03-30","continued","1","3","-2","-66.67%","3"
"Eureka","2019-03-30","continued","5","3","2","66.67%","4"
"Humboldt","2019-03-30","continued","39","46","-7","-15.22%","48"
"Lander","2019-03-30","continued","31","36","-5","-13.89%","36"
"Lincoln","2019-03-30","continued","30","31","-1","-3.23%","31"
"Lyon","2019-03-30","continued","390","402","-12","-2.99%","428"
"Mineral","2019-03-30","continued","18","24","-6","-25.00%","22"
"Nye","2019-03-30","continued","216","209","7","3.35%","227"
"Pershing","2019-03-30","continued","39","36","3","8.33%","38"
"Storey","2019-03-30","continued","9","14","-5","-35.71%","14"
"Washoe","2019-03-30","continued","2,582","2,799","-217","-7.75%","2,905"
"White Pine","2019-03-30","continued","41","41","0","0.00%","41"
"Unknown","2019-03-30","continued","420","444","-24","-5.41%","439"
"Carson City","2019-03-23","initial","30","42","-12","-28.57%","38"
"Churchill","2019-03-23","initial","16","13","3","23.08%","14"
"Clark","2019-03-23","initial","1,878","1,927","-49","-2.54%","1,904"
"Douglas","2019-03-23","initial","26","28","-2","-7.14%","25"
"Elko","2019-03-23","initial","21","29","-8","-27.59%","24"
"Esmeralda","2019-03-23","initial","1","0","1","Inf","1"
"Eureka","2019-03-23","initial","1","1","0","0.00%","0"
"Humboldt","2019-03-23","initial","1","1","0","0.00%","1"
"Lander","2019-03-23","initial","0","1","-1","-100.00%","2"
"Lincoln","2019-03-23","initial","1","4","-3","-75.00%","2"
"Lyon","2019-03-23","initial","42","53","-11","-20.75%","47"
"Mineral","2019-03-23","initial","0","3","-3","-100.00%","4"
"Nye","2019-03-23","initial","24","15","9","60.00%","24"
"Pershing","2019-03-23","initial","2","3","-1","-33.33%","1"
"Storey","2019-03-23","initial","1","1","0","0.00%","1"
"Washoe","2019-03-23","initial","274","315","-41","-13.02%","324"
"White Pine","2019-03-23","initial","4","5","-1","-20.00%","2"
"Unknown","2019-03-23","initial","90","102","-12","-11.76%","100"
"Carson City","2019-03-23","continued","378","420","-42","-10.00%","438"
"Churchill","2019-03-23","continued","127","126","1","0.79%","131"
"Clark","2019-03-23","continued","13,587","13,566","21","0.15%","13,670"
"Douglas","2019-03-23","continued","244","272","-28","-10.29%","274"
"Elko","2019-03-23","continued","256","273","-17","-6.23%","274"
"Esmeralda","2019-03-23","continued","3","3","0","0.00%","4"
"Eureka","2019-03-23","continued","3","3","0","0.00%","3"
"Humboldt","2019-03-23","continued","46","48","-2","-4.17%","53"
"Lander","2019-03-23","continued","36","40","-4","-10.00%","36"
"Lincoln","2019-03-23","continued","31","33","-2","-6.06%","32"
"Lyon","2019-03-23","continued","402","451","-49","-10.86%","456"
"Mineral","2019-03-23","continued","24","21","3","14.29%","24"
"Nye","2019-03-23","continued","209","232","-23","-9.91%","232"
"Pershing","2019-03-23","continued","36","37","-1","-2.70%","40"
"Storey","2019-03-23","continued","14","16","-2","-12.50%","15"
"Washoe","2019-03-23","continued","2,799","3,061","-262","-8.56%","3,091"
"White Pine","2019-03-23","continued","41","39","2","5.13%","41"
"Unknown","2019-03-23","continued","444","442","2","0.45%","445"
"Carson City","2019-03-16","initial","42","41","1","2.44%","47"
"Churchill","2019-03-16","initial","13","14","-1","-7.14%","14"
"Clark","2019-03-16","initial","1,927","1,930","-3","-0.16%","1,843"
"Douglas","2019-03-16","initial","28","23","5","21.74%","28"
"Elko","2019-03-16","initial","29","22","7","31.82%","26"
"Esmeralda","2019-03-16","initial","0","0","0","","0"
"Eureka","2019-03-16","initial","1","0","1","Inf","1"
"Humboldt","2019-03-16","initial","1","1","0","0.00%","2"
"Lander","2019-03-16","initial","1","7","-6","-85.71%","3"
"Lincoln","2019-03-16","initial","4","3","1","33.33%","2"
"Lyon","2019-03-16","initial","53","54","-1","-1.85%","53"
"Mineral","2019-03-16","initial","3","7","-4","-57.14%","7"
"Nye","2019-03-16","initial","15","20","-5","-25.00%","24"
"Pershing","2019-03-16","initial","3","0","3","Inf","1"
"Storey","2019-03-16","initial","1","2","-1","-50.00%","2"
"Washoe","2019-03-16","initial","315","343","-28","-8.16%","367"
"White Pine","2019-03-16","initial","5","1","4","400.00%","4"
"Unknown","2019-03-16","initial","102","92","10","10.87%","99"
"Carson City","2019-03-16","continued","420","461","-41","-8.89%","464"
"Churchill","2019-03-16","continued","126","141","-15","-10.64%","136"
"Clark","2019-03-16","continued","13,566","13,791","-225","-1.63%","13,759"
"Douglas","2019-03-16","continued","272","282","-10","-3.55%","285"
"Elko","2019-03-16","continued","273","280","-7","-2.50%","288"
"Esmeralda","2019-03-16","continued","3","5","-2","-40.00%","4"
"Eureka","2019-03-16","continued","3","3","0","0.00%","3"
"Humboldt","2019-03-16","continued","48","57","-9","-15.79%","57"
"Lander","2019-03-16","continued","40","35","5","14.29%","36"
"Lincoln","2019-03-16","continued","33","29","4","13.79%","32"
"Lyon","2019-03-16","continued","451","470","-19","-4.04%","481"
"Mineral","2019-03-16","continued","21","25","-4","-16.00%","25"
"Nye","2019-03-16","continued","232","250","-18","-7.20%","240"
"Pershing","2019-03-16","continued","37","39","-2","-5.13%","42"
"Storey","2019-03-16","continued","16","16","0","0.00%","16"
"Washoe","2019-03-16","continued","3,061","3,177","-116","-3.65%","3,221"
"White Pine","2019-03-16","continued","39","43","-4","-9.30%","43"
"Unknown","2019-03-16","continued","442","449","-7","-1.56%","448"
"Carson City","2019-03-09","initial","41","39","2","5.13%","58"
"Churchill","2019-03-09","initial","14","11","3","27.27%","18"
"Clark","2019-03-09","initial","1,930","1,881","49","2.60%","1,818"
"Douglas","2019-03-09","initial","23","24","-1","-4.17%","33"
"Elko","2019-03-09","initial","22","23","-1","-4.35%","26"
"Esmeralda","2019-03-09","initial","0","2","-2","-100.00%","0"
"Eureka","2019-03-09","initial","0","0","0","","1"
"Humboldt","2019-03-09","initial","1","1","0","0.00%","3"
"Lander","2019-03-09","initial","7","1","6","600.00%","4"
"Lincoln","2019-03-09","initial","3","2","1","50.00%","2"
"Lyon","2019-03-09","initial","54","39","15","38.46%","63"
"Mineral","2019-03-09","initial","7","5","2","40.00%","7"
"Nye","2019-03-09","initial","20","35","-15","-42.86%","29"
"Pershing","2019-03-09","initial","0","0","0","","2"
"Storey","2019-03-09","initial","2","0","2","Inf","3"
"Washoe","2019-03-09","initial","343","364","-21","-5.77%","427"
"White Pine","2019-03-09","initial","1","0","1","Inf","3"
"Unknown","2019-03-09","initial","92","116","-24","-20.69%","101"
"Carson City","2019-03-09","continued","461","492","-31","-6.30%","475"
"Churchill","2019-03-09","continued","141","131","10","7.63%","136"
"Clark","2019-03-09","continued","13,791","13,734","57","0.42%","13,944"
"Douglas","2019-03-09","continued","282","296","-14","-4.73%","283"
"Elko","2019-03-09","continued","280","286","-6","-2.10%","298"
"Esmeralda","2019-03-09","continued","5","5","0","0.00%","6"
"Eureka","2019-03-09","continued","3","3","0","0.00%","2"
"Humboldt","2019-03-09","continued","57","62","-5","-8.06%","60"
"Lander","2019-03-09","continued","35","34","1","2.94%","34"
"Lincoln","2019-03-09","continued","29","33","-4","-12.12%","32"
"Lyon","2019-03-09","continued","470","500","-30","-6.00%","490"
"Mineral","2019-03-09","continued","25","28","-3","-10.71%","27"
"Nye","2019-03-09","continued","250","236","14","5.93%","242"
"Pershing","2019-03-09","continued","39","46","-7","-15.22%","43"
"Storey","2019-03-09","continued","16","15","1","6.67%","15"
"Washoe","2019-03-09","continued","3,177","3,328","-151","-4.54%","3,239"
"White Pine","2019-03-09","continued","43","42","1","2.38%","44"
"Unknown","2019-03-09","continued","449","444","5","1.13%","450"
"Carson City","2019-03-02","initial","39","66","-27","-40.91%","66"
"Churchill","2019-03-02","initial","11","19","-8","-42.11%","19"
"Clark","2019-03-02","initial","1,881","1,634","247","15.12%","1,840"
"Douglas","2019-03-02","initial","24","39","-15","-38.46%","37"
"Elko","2019-03-02","initial","23","29","-6","-20.69%","29"
"Esmeralda","2019-03-02","initial","2","0","2","Inf","1"
"Eureka","2019-03-02","initial","0","2","-2","-100.00%","1"
"Humboldt","2019-03-02","initial","1","5","-4","-80.00%","5"
"Lander","2019-03-02","initial","1","2","-1","-50.00%","2"
"Lincoln","2019-03-02","initial","2","1","1","100.00%","1"
"Lyon","2019-03-02","initial","39","66","-27","-40.91%","65"
"Mineral","2019-03-02","initial","5","14","-9","-64.29%","6"
"Nye","2019-03-02","initial","35","28","7","25.00%","33"
"Pershing","2019-03-02","initial","0","2","-2","-100.00%","2"
"Storey","2019-03-02","initial","0","6","-6","-100.00%","3"
"Washoe","2019-03-02","initial","364","445","-81","-18.20%","467"
"White Pine","2019-03-02","initial","0","8","-8","-100.00%","5"
"Unknown","2019-03-02","initial","116","86","30","34.88%","104"
"Carson City","2019-03-02","continued","492","485","7","1.44%","464"
"Churchill","2019-03-02","continued","131","148","-17","-11.49%","129"
"Clark","2019-03-02","continued","13,734","13,944","-210","-1.51%","14,051"
"Douglas","2019-03-02","continued","296","289","7","2.42%","278"
"Elko","2019-03-02","continued","286","313","-27","-8.63%","303"
"Esmeralda","2019-03-02","continued","5","5","0","0.00%","6"
"Eureka","2019-03-02","continued","3","3","0","0.00%","2"
"Humboldt","2019-03-02","continued","62","61","1","1.64%","59"
"Lander","2019-03-02","continued","34","34","0","0.00%","34"
"Lincoln","2019-03-02","continued","33","33","0","0.00%","33"
"Lyon","2019-03-02","continued","500","503","-3","-0.60%","488"
"Mineral","2019-03-02","continued","28","25","3","12.00%","28"
"Nye","2019-03-02","continued","236","242","-6","-2.48%","238"
"Pershing","2019-03-02","continued","46","46","0","0.00%","43"
"Storey","2019-03-02","continued","15","16","-1","-6.25%","14"
"Washoe","2019-03-02","continued","3,328","3,319","9","0.27%","3,149"
"White Pine","2019-03-02","continued","42","47","-5","-10.64%","47"
