state_name,state_fips,state_abbrev,county_name,county_fips,year,month,unemployed,unemployment_rate
South Dakota,46,SD,Clay,46027,2019,11,290,3.70%
South Dakota,46,SD,Codington,46029,2019,11,452,2.90%
South Dakota,46,SD,Corson,46031,2019,11,83,6.00%
South Dakota,46,SD,Custer,46033,2019,11,174,4.40%
South Dakota,46,SD,Davison,46035,2019,11,319,2.90%
South Dakota,46,SD,Day,46037,2019,11,110,4.00%
South Dakota,46,SD,Deuel,46039,2019,11,77,3.60%
South Dakota,46,SD,Dewey,46041,2019,11,166,7.40%
South Dakota,46,SD,Douglas,46043,2019,11,41,2.60%
South Dakota,46,SD,Edmunds,46045,2019,11,56,2.80%
South Dakota,46,SD,Fall River,46047,2019,11,124,4.30%
South Dakota,46,SD,Faulk,46049,2019,11,37,3.50%
South Dakota,46,SD,Grant,46051,2019,11,124,2.80%
South Dakota,46,SD,Gregory,46053,2019,11,68,3.20%
South Dakota,46,SD,Haakon,46055,2019,11,33,3.10%
South Dakota,46,SD,Hamlin,46057,2019,11,95,2.80%
South Dakota,46,SD,Hand,46059,2019,11,52,2.90%
South Dakota,46,SD,Hanson,46061,2019,11,83,4.80%
South Dakota,46,SD,Harding,46063,2019,11,21,2.90%
South Dakota,46,SD,Hughes,46065,2019,11,263,2.60%
South Dakota,46,SD,Hutchinson,46067,2019,11,104,2.90%
South Dakota,46,SD,Hyde,46069,2019,11,21,3.10%
South Dakota,46,SD,Jackson,46071,2019,11,77,6.40%
South Dakota,46,SD,Jerauld,46073,2019,11,31,2.80%
South Dakota,46,SD,Jones,46075,2019,11,15,2.80%
South Dakota,46,SD,Kingsbury,46077,2019,11,75,2.90%
South Dakota,46,SD,Lake,46079,2019,11,239,3.50%
South Dakota,46,SD,Lawrence,46081,2019,11,450,3.40%
South Dakota,46,SD,Lincoln,46083,2019,11,886,2.50%
South Dakota,46,SD,Lyman,46085,2019,11,73,4.30%
South Dakota,46,SD,McCook,46087,2019,11,85,3.60%
South Dakota,46,SD,McPherson,46089,2019,11,85,2.80%
South Dakota,46,SD,Marshall,46091,2019,11,46,4.60%
South Dakota,46,SD,Meade,46093,2019,11,485,3.50%
South Dakota,46,SD,Mellette,46095,2019,11,52,7.00%
South Dakota,46,SD,Miner,46097,2019,11,39,3.30%
South Dakota,46,SD,Minnehaha,46099,2019,11,"3,246",2.80%
South Dakota,46,SD,Moody,46101,2019,11,127,3.20%
South Dakota,46,SD,Pennington,46103,2019,11,382,10.50%
South Dakota,46,SD,Perkins,46105,2019,11,"1,998",3.50%
South Dakota,46,SD,Potter,46107,2019,11,46,3.30%
South Dakota,46,SD,Roberts,46109,2019,11,35,3.40%
South Dakota,46,SD,Sanborn,46111,2019,11,197,4.00%
South Dakota,46,SD,Shannon,46113,2019,11,35,3.10%
South Dakota,46,SD,Spink,46115,2019,11,98,3.10%
South Dakota,46,SD,Stanley,46117,2019,11,48,2.60%
South Dakota,46,SD,Sully,46119,2019,11,21,2.70%
South Dakota,46,SD,Todd,46121,2019,11,214,6.80%
South Dakota,46,SD,Tripp,46123,2019,11,85,2.80%
South Dakota,46,SD,Turner,46125,2019,11,137,2.90%
South Dakota,46,SD,Union,46127,2019,11,313,3.60%
South Dakota,46,SD,Walworth,46129,2019,11,100,4.70%
South Dakota,46,SD,Yankton,46135,2019,11,351,2.90%
South Dakota,46,SD,Ziebach,46137,2019,11,54,5.80%
South Dakota,46,SD,Aurora,46003,2019,10,43,2.80%
South Dakota,46,SD,Beadle,46005,2019,10,283,3.00%
