weekEnding,county,claims
11/6/2010,DADE,8
11/6/2010,DALLAS,25
11/6/2010,DAVIESS,5
11/6/2010,DEKALB,11
11/6/2010,DENT,36
11/6/2010,DOUGLAS,12
11/6/2010,DUNKLIN,44
11/6/2010,FRANKLIN,244
11/6/2010,GASCONADE,32
11/6/2010,GENTRY,4
11/6/2010,GREENE,328
11/6/2010,GRUNDY,9
11/6/2010,HARRISON,8
11/6/2010,HENRY,37
11/6/2010,HICKORY,9
11/6/2010,HOLT,5
11/6/2010,HOWARD,17
11/6/2010,HOWELL,46
11/6/2010,IRON,18
11/6/2010,JACKSON,958
11/6/2010,JASPER,136
11/6/2010,JEFFERSON,386
11/6/2010,JOHNSON,59
11/6/2010,KNOX,3
11/6/2010,LACLEDE,73
11/6/2010,LAFAYETTE,45
11/6/2010,LAWRENCE,44
11/6/2010,LEWIS,5
11/6/2010,LINCOLN,108
11/6/2010,LINN,16
11/6/2010,LIVINGSTON,21
11/6/2010,MACON,16
11/6/2010,MADISON,15
11/6/2010,MARIES,7
11/6/2010,MARION,44
11/6/2010,MCDONALD,33
11/6/2010,MERCER,1
11/6/2010,MILLER,66
11/6/2010,MISSISSIPPI,24
11/6/2010,MONITEAU,18
11/6/2010,MONROE,13
11/6/2010,MONTGOMERY,26
11/6/2010,MORGAN,32
11/6/2010,NEW MADRID,27
11/6/2010,NEWTON,73
11/6/2010,NODAWAY,10
11/6/2010,OREGON,9
11/6/2010,OSAGE,11
11/6/2010,OZARK,16
11/6/2010,PEMISCOT,29
11/6/2010,PERRY,25
11/6/2010,PETTIS,74
11/6/2010,PHELPS,51
11/6/2010,PIKE,23
11/6/2010,PLATTE,99
11/6/2010,POLK,46
11/6/2010,PULASKI,39
11/6/2010,PUTNAM,3
11/6/2010,RALLS,10
11/6/2010,RANDOLPH,34
11/6/2010,RAY,23
11/6/2010,REYNOLDS,9
11/6/2010,RIPLEY,12
11/6/2010,SALINE,38
11/6/2010,SCHUYLER,11
11/6/2010,SCOTLAND,2
11/6/2010,SCOTT,61
11/6/2010,SHANNON,15
11/6/2010,SHELBY,11
11/6/2010,ST. CHARLES,531
11/6/2010,ST. CLAIR,9
11/6/2010,ST. FRANCOIS,103
11/6/2010,ST. LOUIS,1486
11/6/2010,ST. LOUIS CITY,511
11/6/2010,STE. GENEVIEVE,54
11/6/2010,STODDARD,42
11/6/2010,STONE,122
11/6/2010,SULLIVAN,9
11/6/2010,TANEY,142
11/6/2010,TEXAS,30
11/6/2010,VERNON,24
11/6/2010,WARREN,80
11/6/2010,WASHINGTON,66
11/6/2010,WAYNE,20
11/6/2010,WEBSTER,53
11/6/2010,WORTH,1
11/6/2010,WRIGHT,13
8/7/2010,ADAIR,31
8/7/2010,ANDREW,18
8/7/2010,ATCHISON,0
8/7/2010,AUDRAIN,23
8/7/2010,BARRY,33
8/7/2010,BARTON,12
8/7/2010,BATES,14
8/7/2010,BENTON,8
8/7/2010,BOLLINGER,12
8/7/2010,BOONE,140
8/7/2010,BUCHANAN,101
8/7/2010,BUTLER,53
8/7/2010,CALDWELL,8
8/7/2010,CALLAWAY,44
8/7/2010,CAMDEN,45
8/7/2010,CAPE GIRARDEAU,64
8/7/2010,CARROLL,8
8/7/2010,CARTER,6
8/7/2010,CASS,102
8/7/2010,CEDAR,16
8/7/2010,CHARITON,10
8/7/2010,CHRISTIAN,84
8/7/2010,CLARK,3
8/7/2010,CLAY,251
8/7/2010,CLINTON,23
8/7/2010,COLE,75
8/7/2010,COOPER,20
8/7/2010,CRAWFORD,42
8/7/2010,DADE,6
8/7/2010,DALLAS,39
8/7/2010,DAVIESS,6
8/7/2010,DEKALB,13
8/7/2010,DENT,14
8/7/2010,DOUGLAS,9
8/7/2010,DUNKLIN,31
8/7/2010,FRANKLIN,176
8/7/2010,GASCONADE,22
8/7/2010,GENTRY,2
8/7/2010,GREENE,278
8/7/2010,GRUNDY,9
8/7/2010,HARRISON,4
8/7/2010,HENRY,21
8/7/2010,HICKORY,9
8/7/2010,HOLT,2
8/7/2010,HOWARD,20
8/7/2010,HOWELL,121
8/7/2010,IRON,15
8/7/2010,JACKSON,1048
8/7/2010,JASPER,107
8/7/2010,JEFFERSON,334
8/7/2010,JOHNSON,54
8/7/2010,KNOX,14
8/7/2010,LACLEDE,76
8/7/2010,LAFAYETTE,41
8/7/2010,LAWRENCE,35
8/7/2010,LEWIS,4
8/7/2010,LINCOLN,85
8/7/2010,LINN,19
8/7/2010,LIVINGSTON,11
8/7/2010,MACON,14
8/7/2010,MADISON,22
8/7/2010,MARIES,16
8/7/2010,MARION,30
8/7/2010,MCDONALD,99
8/7/2010,MERCER,2
8/7/2010,MILLER,50
8/7/2010,MISSISSIPPI,29
8/7/2010,MONITEAU,12
8/7/2010,MONROE,7
8/7/2010,MONTGOMERY,11
8/7/2010,MORGAN,17
8/7/2010,NEW MADRID,16
8/7/2010,NEWTON,60
8/7/2010,NODAWAY,14
8/7/2010,OREGON,8
8/7/2010,OSAGE,13
8/7/2010,OZARK,4
8/7/2010,PEMISCOT,16
8/7/2010,PERRY,20
8/7/2010,PETTIS,48
8/7/2010,PHELPS,40
8/7/2010,PIKE,102
8/7/2010,PLATTE,96
8/7/2010,POLK,40
8/7/2010,PULASKI,29
